"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1340",1316,"Ottawa","KS",11,"mcf","2,754","NG",38.62,-95.28
"1341",1316,"Ottawa","KS",-1,"barrels","459","NG",38.62,-95.28
"1342",1316,"Ottawa","KS",-5,"mcf","9,921","NG",38.62,-95.28
"1343",1317,"Pratt","KS",5,"barrels","11","NG",37.64,-98.74
"1344",1317,"Pratt","KS",986,"mcf","13,855","NG",37.64,-98.74
"1345",1319,"Russell Downtown","KS",14,"barrels","28",NA,NA,NA
"1346",1319,"Russell Downtown","KS",26,"mcf","306",NA,NA,NA
"1347",1320,"Sabetha Power Plant","KS",-112,"barrels","297",NA,NA,NA
"1348",1320,"Sabetha Power Plant","KS",-449,"mcf","6,246",NA,NA,NA
"1349",1321,"St Francis","KS",0,"barrels","0",NA,NA,NA
"1350",1321,"St Francis","KS",0,"mcf","0",NA,NA,NA
"1351",1322,"St John","KS",2,"barrels","4",NA,NA,NA
"1352",1322,"St John","KS",0,"mcf","0",NA,NA,NA
"1353",1324,"Sharon Spring","KS",0,"barrels","120",NA,NA,NA
"1354",1324,"Sharon Spring","KS",0,"mcf","2,345",NA,NA,NA
"1355",1325,"Stafford","KS",1,"barrels","1",NA,NA,NA
"1356",1325,"Stafford","KS",8,"mcf","97",NA,NA,NA
"1357",1326,"Sterling","KS",23,"barrels","44",NA,NA,NA
"1358",1326,"Sterling","KS",31,"mcf","335",NA,NA,NA
"1359",1327,"Stockton","KS",-19,"barrels","4",NA,NA,NA
"1360",1327,"Stockton","KS",-118,"mcf","150",NA,NA,NA
"1361",1328,"Wamego","KS",-212,"barrels","110",NA,NA,NA
"1362",1328,"Wamego","KS",-521,"mcf","1,600",NA,NA,NA
"1363",1329,"Washington","KS",48,"barrels","239",NA,NA,NA
"1364",1329,"Washington","KS",6,"mcf","171",NA,NA,NA
"1365",1330,"Wellington 1","KS",0,"barrels","0",NA,NA,NA
"1366",1330,"Wellington 1","KS",882,"mcf","11,137",NA,NA,NA
"1367",1332,"West 14th Street","KS",353,"mcf","3,438",NA,NA,NA
"1368",1336,"Garden City","KS",18908,"mcf","319,289","NG",37.97,-100.9
"1369",1336,"Garden City","KS",81544,"mcf","906,162","NG",37.97,-100.9
"1370",1353,"Big Sandy","KY",3126295,"short tons","1,251,371","BIT",38.17,-82.62
"1371",1353,"Big Sandy","KY",5848,"barrels","9,627","BIT",38.17,-82.62
"1372",1354,"Dix Dam","KY",97943,"","0","WAT",37.79,-84.7
"1373",1355,"E W Brown","KY",1780,"barrels","4,116","BIT",37.79,-84.71
"1374",1355,"E W Brown","KY",795096,"mcf","9,327,982","BIT",37.79,-84.71
"1375",1355,"E W Brown","KY",2028674,"short tons","1,025,226","BIT",37.79,-84.71
"1376",1355,"E W Brown","KY",4076,"barrels","8,059","BIT",37.79,-84.71
"1377",1356,"Ghent","KY",11353788,"short tons","5,454,268","BIT",38.75,-85.04
"1378",1356,"Ghent","KY",14109,"barrels","25,986","BIT",38.75,-85.04
"1379",1357,"Green River","KY",655125,"short tons","338,580","BIT",37.36,-87.12
"1380",1357,"Green River","KY",1599,"barrels","3,271","BIT",37.36,-87.12
"1381",1358,"Haefling","KY",0,"barrels","0","NG",38.08,-84.52
"1382",1358,"Haefling","KY",2209,"mcf","47,401","NG",38.08,-84.52
"1383",1359,"Mother Ann Lee","KY",8535,"","0","WAT",37.83,-84.72
"1384",1363,"Cane Run","KY",911777,"mcf","0","BIT",38.18,-85.89
"1385",1363,"Cane Run","KY",0,"short tons","0","BIT",38.18,-85.89
"1386",1363,"Cane Run","KY",1673483,"mcf","17,254,298","BIT",38.18,-85.89
"1387",1363,"Cane Run","KY",-22,"barrels","0","BIT",38.18,-85.89
"1388",1363,"Cane Run","KY",273,"mcf","14,365","BIT",38.18,-85.89
"1389",1363,"Cane Run","KY",731155,"short tons","384,993","BIT",38.18,-85.89
"1390",1363,"Cane Run","KY",5589,"mcf","65,553","BIT",38.18,-85.89
"1391",1364,"Mill Creek (KY)","KY",7896083,"short tons","3,463,183",NA,NA,NA
"1392",1364,"Mill Creek (KY)","KY",39141,"mcf","408,752",NA,NA,NA
"1393",1365,"Ohio Falls","KY",273775,"","0","WAT",38.28,-85.78
"1394",1366,"Paddys Run","KY",0,"barrels","0","NG",38.22,-85.84
"1395",1366,"Paddys Run","KY",180621,"mcf","1,938,049","NG",38.22,-85.84
"1396",1368,"Zorn","KY",1058,"mcf","21,063","NG",38.28,-85.7
"1397",1371,"Barkley","KY",544038,"","0","WAT",37.02,-88.22
"1398",1374,"Elmer Smith","KY",2294241,"short tons","1,148,282","BIT",37.79,-87.06
"1399",1374,"Elmer Smith","KY",2606,"barrels","5,047","BIT",37.79,-87.06
"1400",1374,"Elmer Smith","KY",3342,"mcf","35,751","BIT",37.79,-87.06
"1401",1374,"Elmer Smith","KY",0,"short tons","0","BIT",37.79,-87.06
"1402",1374,"Elmer Smith","KY",36,"mcf","159","BIT",37.79,-87.06
"1403",1374,"Elmer Smith","KY",0,"short tons","0","BIT",37.79,-87.06
"1404",1376,"Paris (KY)","KY",13,"barrels","30",NA,NA,NA
"1405",1377,"Kentucky Dam","KY",1265179,"","0","WAT",37.01,-88.27
"1406",1378,"Paradise","KY",12005988,"short tons","5,300,011","BIT",37.26,-86.98
"1407",1378,"Paradise","KY",2161,"barrels","3,933","BIT",37.26,-86.98
"1408",1378,"Paradise","KY",0,"short tons","0","BIT",37.26,-86.98
"1409",1379,"Shawnee","KY",163721,"short tons","98,284",NA,NA,NA
"1410",1379,"Shawnee","KY",9512,"barrels","18,754",NA,NA,NA
"1411",1379,"Shawnee","KY",5968573,"short tons","3,788,410",NA,NA,NA
"1412",1380,"Wolf Creek","KY",1126904,"","0","WAT",36.87,-85.15
"1413",1381,"Kenneth C Coleman","KY",-8857,"short tons","0","BIT",37.96,-86.79
"1414",1381,"Kenneth C Coleman","KY",-24,"mcf","0","BIT",37.96,-86.79
"1415",1381,"Kenneth C Coleman","KY",0,"mcf","0","BIT",37.96,-86.79
"1416",1382,"HMP&L Station Two Henderson","KY",1482680,"short tons","658,471","BIT",37.65,-87.5
"1417",1382,"HMP&L Station Two Henderson","KY",5605,"barrels","10,850","BIT",37.65,-87.5
"1418",1382,"HMP&L Station Two Henderson","KY",0,"short tons","0","BIT",37.65,-87.5
