Plant.Id,State,Fuel.Simplified,Net.Gen,Lat,Lon,FuelType,Plant.Name
55168,TX,Natural Gas,3397291,30.15,-97.55,NG,Bastrop Energy Center
55170,NH,Natural Gas,4686787,42.9,-71.43,NG,Granite Ridge
55172,TX,Natural Gas,4675191,31.86,-97.36,NG,Bosque County Peaking
55173,LA,Natural Gas,6585897,30.43,-92.41,NG,Acadia Energy Center
55176,TX,Natural Gas,2251671,32.45,-94.69,NG,Eastman Cogeneration Facility
55177,AZ,Natural Gas,1750652,34.87,-114.53,NG,South Point Energy Center
55178,MO,Natural Gas,1409463,38.79,-94.3,NG,Dogwood Energy Facility
55179,ID,Natural Gas,1528983,47.79,-116.92,NG,Rathdrum Power LLC
55182,CA,Natural Gas,2729586,35.21,-119.59,NG,Sunrise Power LLC
55184,CA,Natural Gas,41263,35.95,-120.86,NG,Aera San Ardo Cogen Facility
55187,TX,Natural Gas,4534208,29.84,-95.12,NG,Channelview Cogeneration Plant
55188,IL,Natural Gas,11125,41.71,-90.28,NG,Cordova Energy
55193,PA,Natural Gas,4088379,40.42,-75.94,NG,Ontelaunee Energy Center
55196,PA,Natural Gas,56099,40.55,-79.77,NG,FirstEnergy Springdale 1 & 2
55197,MS,Natural Gas,3413509,33.65,-88.27,NG,Caledonia
55198,KY,Natural Gas,573600,38.19,-82.6,NG,Riverside Generating LLC
55199,IL,Natural Gas,568460,41.44,-88.12,NG,Elwood Energy LLC
55200,CO,Natural Gas,118302,39.67,-105.0,NG,Arapahoe Combustion Turbine Project
55201,IL,Natural Gas,46533,40.47,-88.4,NG,Gibson City Energy Center LLC
55202,IL,Natural Gas,55182,38.11,-89.35,NG,Pinckneyville
55206,TX,Natural Gas,2299201,27.81,-97.43,NG,Corpus Christi Energy Center
55208,MN,Wind,230792,44.29,-96.38,WND,Lake Benton I
55210,NM,Natural Gas,645712,32.11,-106.85,NG,Afton Generating Station
55211,MA,Natural Gas,2510525,42.11,-71.45,NG,ANP Bellingham Energy Project
55212,MA,Natural Gas,2095413,42.06,-71.52,NG,ANP Blackstone Energy Project
55215,TX,Natural Gas,5809356,31.84,-102.33,NG,Odessa Ector Generating Station
55216,IL,Natural Gas,652557,41.41,-88.33,NG,Morris Cogeneration LLC
55217,CA,Natural Gas,2603567,38.03,-121.87,NG,Los Medanos Energy Center
55218,MS,Natural Gas,2323884,32.38,-90.22,NG,Hinds Energy Facility
55220,MS,Natural Gas,3297745,33.01,-89.68,NG,Attala
55221,AR,Natural Gas,349389,34.59,-92.22,NG,Harry L. Oswald
55222,IL,Natural Gas,19433,41.39,-87.94,NG,Lincoln Generating Facility
55223,TX,Natural Gas,1594261,32.32,-96.68,NG,Ennis Power Company LLC
55224,IN,Natural Gas,51887,38.67,-87.29,NG,Wheatland Generating Facility
55225,OK,Natural Gas,5468247,36.01,-95.7,NG,Oneta Energy Center
55226,TX,Natural Gas,5733045,31.89,-96.11,NG,Freestone Energy Center
55228,OH,Natural Gas,42378,40.08,-84.62,NG,Greenville Electric Generating Station
55229,IN,Natural Gas,93313,40.62,-85.31,NG,Montpelier Electric Generating Station
55230,TX,Natural Gas,6187538,33.1,-97.96,NG,Jack County
55231,PA,Natural Gas,4122956,39.86,-75.34,NG,Liberty Electric Power Plant
55232,KY,Natural Gas,66734,37.03,-88.4,NG,Marshall Energy Facility
55233,PA,Natural Gas,155846,41.29,-79.81,NG,Handsome Lake Energy LLC
